code,display
PDF-10520000,Collodion
PDF-13085000,"Concentrate for concentrate for oral spray, suspension"
PDF-13001000,Concentrate for concentrate for solution for infusion
PDF-10514000,Concentrate for cutaneous solution
PDF-50009000,"Concentrate for cutaneous spray, emulsion"
PDF-10534000,Concentrate for dip emulsion
PDF-10532000,Concentrate for dip solution
PDF-10533000,Concentrate for dip suspension
PDF-50009300,Concentrate for dispersion for infusion
PDF-13139000,Concentrate for dispersion for injection
PDF-50009500,Concentrate for emulsion for infusion
PDF-13152000,Concentrate for emulsion for injection
PDF-10302000,Concentrate for gargle
PDF-50009750,Concentrate for intravesical solution
PDF-13002000,Concentrate for nebuliser solution
PDF-50010000,Concentrate for oral solution
PDF-10100500,Concentrate for oral suspension
PDF-50011000,Concentrate for oral/rectal solution
PDF-13003000,Concentrate for oromucosal solution
PDF-50012000,Concentrate for peritoneal dialysis solution
PDF-11008000,Concentrate for rectal solution
PDF-10535000,Concentrate for solution for fish treatment
PDF-11405000,Concentrate for solution for haemodialysis
PDF-11213000,Concentrate for solution for infusion
PDF-11209000,Concentrate for solution for injection
PDF-50079000,Concentrate for solution for injection/infusion
PDF-10600500,Concentrate for solution for intraocular irrigation
PDF-50013000,Concentrate for solution for intravesical use
PDF-50013250,Concentrate for solution for peritoneal dialysis
PDF-50013500,Concentrate for spray emulsion
PDF-50014000,Concentrate for suspension for infusion
PDF-13004000,Concentrate for suspension for injection
PDF-13082000,Bee-hive dispersion
PDF-12109000,Dispersion
PDF-13005000,Dispersion for concentrate for dispersion for infusion
PDF-50017500,Dispersion for infusion
PDF-50077000,Dispersion for injection
PDF-13049000,Dispersion for injection/infusion
PDF-13129000,Nebuliser dispersion
PDF-13126000,Prolonged-release dispersion for injection
PDF-10609000,"Eye drops, prolonged-release"
PDF-10307000,Oromucosal drops
PDF-10516000,Cutaneous emulsion
PDF-50015500,"Cutaneous spray, emulsion"
PDF-10408000,Dental emulsion
PDF-10531000,Dip emulsion
PDF-10706000,"Ear drops, emulsion"
PDF-10711000,"Ear spray, emulsion"
PDF-10713000,"Ear wash, emulsion"
PDF-13008000,Emulsion for emulsion for injection
PDF-11211000,Emulsion for infusion
PDF-11203000,Emulsion for injection
PDF-50021000,Emulsion for injection/infusion
