code,term,definition,comment,status,domain,modification_date,creation_date
10100500,Concentrate for oral suspension,Liquid preparation intended to be diluted in the specified liquid to obtain an oral suspension.,,Current,Human and Veterinary,2016-03-30 04:04:40,2012-05-23 16:04:57
10101000,"Oral drops, solution","Liquid, usually multidose preparation consisting of a solution intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the solution. The measured dose may be diluted in water or another suitable liquid before swallowing.",,Current,Human and Veterinary,2016-03-30 05:38:15,2006-03-14 00:00:00
10102000,"Oral drops, suspension","Liquid, usually multidose preparation consisting of a suspension intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the suspension. The measured dose may be diluted in water or another suitable liquid before swallowing.",,Current,Human and Veterinary,2016-03-30 08:59:24,2006-03-14 00:00:00
10103000,"Oral drops, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the emulsion. The measured dose may be diluted in water or another suitable liquid before swallowing.",,Current,Human and Veterinary,2016-03-30 04:39:52,2006-03-14 00:00:00
10104000,Oral liquid,"Liquid single-dose or multidose preparation consisting of a liquid active substance per se, intended for oral use. Each dose from a multidose container is administered by means of a suitable device such as a measuring spoon.",,Current,Human and Veterinary,2016-03-30 04:55:08,2006-03-14 00:00:00
10105000,Oral solution,"Liquid single-dose or multidose preparation consisting of a solution intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",,Current,Human and Veterinary,2016-03-30 05:40:14,2006-03-14 00:00:00
10106000,Oral suspension,"Liquid single-dose or multidose preparation consisting of a suspension intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",,Current,Human and Veterinary,2016-03-30 09:00:31,2006-03-14 00:00:00
10107000,Oral emulsion,"Liquid single-dose or multidose preparation consisting of an emulsion intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",,Current,Human and Veterinary,2016-03-30 04:41:00,2006-03-14 00:00:00
10108000,Oral gel,"Semi-solid single-dose or multidose preparation intended for oral use, consisting of a gel, usually hydrophilic, to be swallowed after administration to the oral cavity.",,Current,Human and Veterinary,2016-03-30 10:11:02,2006-03-14 00:00:00
10109000,Oral paste,"Semi-solid single-dose or multidose preparation intended for oral use, consisting of a paste to be swallowed after administration to the oral cavity.",,Current,Human and Veterinary,2016-03-30 10:27:11,2006-03-14 00:00:00
10110000,Powder for oral solution,Solid preparation consisting of (a) solid active substance(s) which may also include excipients to facilitate dissolution in the prescribed liquid. Powders for oral solution include freeze-dried powders. The oral solution is usually prepared just before administration to the patient.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10111000,Powder for oral suspension,Solid preparation consisting of (a) solid active substance(s) which may also include excipients to facilitate dispersion in the prescribed liquid and to prevent sedimentation during storage of the oral suspension. Powders for oral suspension include freeze-dried powders. The oral suspension is usually prepared just before administration to the patient.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
10112000,Granules for oral solution,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dissolution, intended to be dissolved in the specified liquid to obtain an oral solution, which is usually prepared just before administration to the patient.",,Current,Human and Veterinary,2016-03-30 11:05:10,2006-03-14 00:00:00
10113000,Granules for oral suspension,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dispersion, intended to be dispersed in the specified liquid to obtain an oral suspension, which is usually prepared just before administration to the patient.",,Current,Human and Veterinary,2016-03-30 11:06:03,2006-03-14 00:00:00
