code,term,definition,comment,status,domain,modification_date,creation_date
20001000,Auricular use,Administration of a medicinal product to the ear.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20002000,Beak dipping,Administration of a veterinary medicinal product by dipping the beak of birds into an aqueous solution of the medicinal product.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20002500,Buccal use,Administration of a medicinal product to the buccal cavity (pouch located between the cheek and the gum) to obtain a systemic effect,,Current,Human and Veterinary,2010-06-22 15:58:05,2010-06-22 15:58:05
20003000,Cutaneous use,Administration of a medicinal product to the skin and/or cutaneous wounds and/or nails and/or hair in order to obtain a local effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20004000,Dental use,"Administration of a medicinal product to and/or in the teeth or, on and/or around the nerves supplying the teeth.",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20005000,Dipping,Administration of a veterinary medicinal product by immersing the animal into a bath or plunge pool containing the medicinal product.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20006000,Endocervical use,Administration of a medicinal product to the cervix uteri.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20007000,Endosinusial use,Administration of a medicinal product to the sinuses to obtain a local effect.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20008000,Endotracheopulmonary use,Administration of a medicinal product to the trachea and/or bronchi by instillation (preparations for inhalation are excluded; see inhalation use).,,Current,Human and Veterinary,2018-08-09 14:55:24,2006-03-14 00:00:00
20009000,Epidural use,Injection of a medicinal product into the epidural space.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20010000,Epilesional use,Administration of a medicinal product onto a lesion.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20011000,Extraamniotic use,Injection of a medicinal product between chorion and amnion.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20011500,Extracorporeal use,Use of a medicinal product outside the body,,Current,Human and Veterinary,2010-06-16 10:22:46,2010-06-16 10:22:46
20012000,Foot-stab use,Administration of a veterinary medicinal product into the foot of birds.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20013000,Gastroenteral use,Administration of a medicinal product to the gastroenteral tract by means of an appropriate device. For use only when gastric use and intestinal use do not apply.,,Current,Human and Veterinary,2022-05-16 14:23:16,2006-03-14 00:00:00
20013500,Gastric use,Administration of a medicinal product to the stomach by means of an appropriate device,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20014000,Gingival use,Administration of a medicinal product to the gingivae.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20015000,Haemodialysis,Clearance of the blood by means of a semipermeable membrane. [Previous English term 'Hemodialysis' corrected 04/07/11.],,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20015500,Implantation,Insertion of an implant or living tissue equivalent into living tissue.,,Current,Human and Veterinary,2014-04-17 15:14:28,2010-04-22 11:48:01
20015700,In drinking water use,Administration of a veterinary medicinal product by incorporation into the animal drinking water.,,Current,Veterinary only,2018-08-09 15:09:18,2010-04-22 11:51:21
20016000,In drinking water/milk use,"Administration of a veterinary medicinal product by incorporation into the animal drinking water, milk or milk replacer. [Previous English term 'In drinking water or milk use' corrected 28/03/2011.]",,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20017000,In ovo,Administration of a veterinary medicinal product through the shell into an embryonated egg.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20018000,In-feed use,Administration of a veterinary medicinal product by incorporation into the animal feed.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20019000,In-hive use,Administration of a veterinary medicinal product by placing it or sprinkling over a bee hive.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20019500,Infiltration,"Method of administration, usually by injection, whereby a fluid passes into a target tissue (e.g. anaesthetic infiltration)",,Current,Human and Veterinary,2010-09-02 17:06:31,2010-09-02 17:06:31
20020000,Inhalation use,Administration of a medicinal product to the respiratory system by inhalation to obtain a systemic or a local effect in the lower respiratory tract. Nasal use and endotracheopulmonary use are excluded,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20021000,Intestinal use,"Administration of a medicinal product to the intestine (duodenum, jejunum, ileum and colon) by means of an appropriate device. Gastroenteral use is excluded ",,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20022000,Intraamniotic use,Injection of a medicinal product into the amniotic cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20023000,Intraarterial use,Injection of a medicinal product into an artery.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20024000,Intraarticular use,Injection of a medicinal product into an articular cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20025000,Intrabursal use,Injection of a medicinal product into bursae and tendons.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20025500,Intracameral use,Administration of a medicinal product directly into the anterior chamber of the eye,,Current,Human and Veterinary,2011-09-20 09:28:01,2011-09-20 09:28:01
20026000,Intracardiac use,Injection of a medicinal product into the cardiac muscle and/or cardiac cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20026500,Intracartilaginous use,Administration of a medicinal product into the cartilage,,Current,Human and Veterinary,2010-06-22 15:59:58,2010-06-22 15:59:58
20027000,Intracavernous use,Injection of a medicinal product into the corpus cavernosum.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20027010,Intracerebral use,Administration of a medicinal product directly to the brain tissue. This term is only for use when a more-specific term (e.g. 'Intraputaminal use') is not applicable.,,Current,Human and Veterinary,2020-02-11 08:13:29,2006-03-14 00:00:00
20028000,Intracervical use,Injection of a medicinal product into the cervix uteri.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20028300,Intracholangiopancreatic use,"Injection of a medicinal product into the bile duct and the pancreatic duct, for example via a cannula introduced into the ampulla of Vater (the common opening of the ducts), usually for the administration of a contrast medium for techniques such as endoscopic retrograde cholangiopancreatography (ERCP).",,Current,Human and Veterinary,2013-06-24 14:47:29,2013-06-24 14:47:29
20028500,Intracisternal use,Administration of a medicinal product into the cisterna magna.,,Current,Human and Veterinary,2018-08-09 15:14:07,2010-07-21 09:00:29
20029000,Intracoronary use,Injection of a medicinal product into the coronary artery.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20030000,Intradermal use,Injection of a medicinal product into the dermis.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20031000,Intradiscal use,Injection of a medicinal product into the nucleus pulposus of an intervertebral disc.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20031500,Intraepidermal use,Administration of a medicinal product into the epidermis,,Current,Human and Veterinary,2009-05-15 16:32:51,2009-05-15 16:32:51
20031700,Intraglandular use,"Administration of a medicinal product directly into a gland, usually by injection. Only to be used where more-specific terms such as 'Intraprostatic use' and 'Intramammary use' do not apply.",,Current,Human and Veterinary,2014-03-04 15:41:02,2014-03-04 15:41:02
20032000,Intralesional use,Administration by injection or any other means of a medicinal product directly to a lesion.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20033000,Intralymphatic use,Injection of a medicinal product into a lymphatic vessel.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20034000,Intramammary use,Administration of a veterinary medicinal product into the intramammary gland via the teat canal.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20035000,Intramuscular use,Injection of a medicinal product into muscular tissue.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20036000,Intraocular use,"Administration of a medicinal product into the eye. The term 'intraocular use' is only for use when a more specific term (e.g. 'intracameral use', 'intravitreal use') does not apply. Ocular use and subconjunctival use are excluded.",,Current,Human and Veterinary,2014-05-13 10:43:35,2006-03-14 00:00:00
20036500,Intraosseous use,Administration of a medicinal product into the bone marrow. Intrasternal use is excluded.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20037000,Intrapericardial use,Injection of a medicinal product to the pericardium.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20038000,Intraperitoneal use,Injection of a medicinal product into the peritoneal cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20039000,Intrapleural use,Injection of a medicinal product into the pleural cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20039200,Intraportal use,Injection/infusion of a medicinal product into the hepatic portal vein for local delivery to the liver.,,Current,Human and Veterinary,2014-05-28 13:31:50,2014-05-28 13:31:50
20039500,Intraprostatic use,Administration of a medicinal product into the prostate,,Current,Human and Veterinary,2010-06-22 16:02:10,2010-06-22 16:02:10
20039800,Intrapulmonary use,"Administration of a medicinal product into the lung, usually by injection. 'Inhalation use' and 'Endotracheopulmonary use' are excluded.",,Current,Veterinary only,2014-05-28 13:33:14,2014-05-28 13:33:14
20040000,Intraruminal use,Administration of a veterinary medicinal product into the rumen.,,Current,Veterinary only,2006-03-14 00:00:00,2006-03-14 00:00:00
20041000,Intrasternal use,Injection of a medicinal product into the bone marrow of the sternum.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20042000,Intrathecal use,Injection of a medicinal product through the dura to the subarachnoid cavity.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
20043000,Intratumoral use,Injection of a medicinal product into a tumor.,,Current,Human and Veterinary,2016-04-08 09:36:00,2006-03-14 00:00:00
20044000,Intrauterine use,Administration of a medicinal product to the cavity of the uterus.,,Current,Human and Veterinary,2006-03-14 00:00:00,2006-03-14 00:00:00
