code,term,definition,comment,status,domain,modification_date,creation_date
15001000,Actuation,"A unit of presentation used to represent the quantity of product that is administered following a single operation of a metered-dose pump, valve or other equivalent dosing mechanism.","For example, to describe the strength of a pressurised inhalation solution (e.g. via an inhaler): ""contains 100 micrograms per actuation"".",Current,Human and Veterinary,2016-08-10 14:57:46,2016-08-10 14:57:46
15002000,Ampoule,A unit of presentation used to represent the quantity of product that is found in a single ampoule container.,"For example, to describe the quantity of a solution for injection in a single ampoule: ""contains 1 mL per ampoule"".",Current,Human and Veterinary,2016-05-20 09:43:10,2016-05-20 09:43:10
15004000,Applicator,A unit of presentation used to represent the quantity of product that is found in a single applicator.,"For example, to describe the quantity of a cream in a single applicator: ""contains 1 mL per applicator"".",Current,Human and Veterinary,2016-06-29 11:31:02,2016-06-29 11:31:02
15005000,Bag,A unit of presentation used to represent the quantity of product that is found in a single bag container.,"For example, to describe the quantity of a solution for infusion in a single bag: ""contains 1000 mL per bag"".",Current,Human and Veterinary,2016-05-20 09:44:02,2016-05-20 09:44:02
15006000,Barrel,A unit of presentation used to represent the quantity of product that is found in a single barrel container.,"For example, to describe the quantity of a solution for injection in a single barrel: ""contains 10 L per barrel"".",Current,Human and Veterinary,2016-05-20 09:45:06,2016-05-20 09:45:06
15007000,Blister,A unit of presentation used to represent the quantity of product that is found in a single blister or unit-dose blister container.,"For example, to describe the quantity of tablets in a blister: ""contains 28 tablets per blister"".",Current,Human and Veterinary,2016-06-29 11:31:43,2016-06-29 11:31:43
15008000,Block,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of block.,"For example, to describe the strength of a lick block: ""contains 1000 mg per block"".",Current,Human and Veterinary,2016-05-20 09:47:38,2016-05-20 09:47:38
15009000,Bottle,A unit of presentation used to represent the quantity of product that is found in a single bottle container.,"For example, to describe the quantity of an oral solution in a single bottle: ""contains 100 mL per bottle"".",Current,Human and Veterinary,2016-05-20 09:48:33,2016-05-20 09:48:33
15011000,Cachet,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of cachet.,"For example, to describe the strength of a cachet: ""contains 100 mg per cachet"".",Current,Human and Veterinary,2016-05-20 09:49:14,2016-05-20 09:49:14
15012000,Capsule,A unit of presentation used to represent the quantity of product that is found in a single discrete entity where the pharmaceutical dose form is a type of capsule.,"For example, to describe the strength of a hard capsule: ""contains 100 mg per capsule"".",Current,Human and Veterinary,2016-05-20 09:50:21,2016-05-20 09:50:21
