MEDICINE_ID,EOF_CODE,EOF_CODEMinus2 (Comment 16),BARCODE,COMMERCIAL_NAME,Package Unit (Comment 14),Num of Package units (Comment 14),COMMERCIAL_NAME_ONLY,COMMERCIAL_NAME_AND_ALL,EDQM (comment 4),FORM_CODE,Route of administration (EDQM) Comment 13,edqmCode (comment 5),sporCode,IN_CIRCULATION,valueNominator (Comment 6),unitNominator (Comment 6),valueDenominator (Comment 6),unitDenominator (Comment 6),CONTENT (mg per smallest unit),"pack dose size unit (comment 5, 10)",PIECES_PER_PACKAGE,DOSES_PER_PACKAGE,EU-SRS code,ACTIVE_SUBSTANCE_CODE (comment 7),WHOLESALE_PRICE,RETAIL_PRICE,RETAIL_REDUCED_PRICE,HOSPITAL_PRICE,WITHDRAWN,NON_PRESCRIPTABLE,HIGH_COST,EXECUTED_AT_IKA,DRUG,DESENSITIZATION_VACCINE,HOSPITAL_MEDICINE,SPECIAL_PRESCRIPTION,IFET,ATC_CODE,INSTRUCTIONS_LEAFLET,SPECIAL_ANTIBIOTICS,DOSE_UNIT,PACKAGE_FORM,DAILY_DOSE,PRODUCER,MEDICINE_TYPE,REFERENCE_PRICE,REFERENCE_REDUCED_PRICE,PARTICIPATION_PERCENTAGE,MEDICINE_GROUP_ID,DEFAULT_PERCENTAGE,NOINN,NEGATIVE_LIST,POSITIVE_LIST,N3816,SPECIAL_IMPORT,EXECUTION_UNIT_ID,SPECIAL_WHOLESALE_PRICE,RETAIL_PRICE_PREV,RETAIL_REDUCED_PRICE_PREV,REFERENCE_PRICE_PREV,REFERENCE_REDUCED_PRICE_PREV,GROUP_INFO,IN_CLUSTER_WITH_GENERIC,CLUSTER_CODE,NO_SALES,ONLY_BY_PROTOCOL,NOT_IN_PHAR_COST,EOPYY_PREAPPROVAL,IVF,EXECUTED_PLUS_AT_EOPYY,INS_NOSOK_POS_LIST_DATE,MEDICINE_TYPE_ALL,INFO_POPUP,VACCINE,LOWER_PRICE,CONTENT_INTERNAL,OLD_EXECUTION_UNIT_ID,VERSION_NO,UPDATED_BY,UPDATED_ON,HAS_MEDICINE_LOT,IS_CONSUMABLE,CONSUMABLE_PACK_QTY,CONSUMABLE_GROUP_ID,HAS_PRICE_EXCLUSIONS,IS_FLUANTIVIRAL,INSERT_DATE,UPDATE_DATE,TYPE_O_EXCEPTION,DEFAULT_QUANTITY_PRESCRIBED,DEFAULT_DOSE_UNIT_NO,DEFAULT_FREQUENCY_ID,DEFAULT_DOSE_DAYS_NO,DEFAULT_DOSAGE_REQUIRED,VAL_OVERDOSE_THRES,VAL_UNDERDOSE_THRES,UNDERDOSE_MESSAGE_TYPE,OVERDOSE_MESSAGE_TYPE,VAT,LOW_VAT,NO_GEN_TARGET,LIMITED_EXECUTION,LIMITED_EXECUTION_UNIT_ID,SPCF_GROUP_ID,ONLY_BY_PROTOCOL_AGE_LIMIT,CONSUMABLE_CATEGORY_ID,MEASURABLE_FORM,DRUG_CATEGORY_ID,E_PRES_ENABLED,IS_ANTIBIOTIC,IS_HEPARIN,PHARMACIST_POPUP,UNINSURED_ALLOWED
5149,267670102,2676701,2802676701025,NORVALET CAPS 5MG/CAP BTx30 (BLIST 3x10),Blister,3,NORVALET,NORVALET CAPS 5MG/CAP BTx30 (BLIST 3x10),"Capsule, hard",CAPS,Oral use,Capsule,,1,5,MG,1,CAP,5MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"3,82","5,27","5,17","3,32",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BTx30 (BLIST 3x10),"1,2,3,4,5,6",INNOVIS HEALTH ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΑΡΑΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΚΑΛΛΥΝΤΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΜΠΛΗΡΩΜΑΤΩΝ ΔΙΑΤΡΟΦΗΣ Δ.Τ. INNOVIS HEALTH A.E.,G,"5,27","5,17",25,5043,1,0,0,1,0,0,,"3,39","6,47","6,38","5,88","5,8",,1,C08CA0101,0,0,0,0,0,0,,G,,,1,5MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,5149,,,1,,1,,0,,
5150,267670202,2676702,2802676702022,NORVALET CAPS 10MG/CAP BTx30 (BLIST 3x10),Blister,3,NORVALET,NORVALET CAPS 10MG/CAP BTx30 (BLIST 3x10),"Capsule, hard",CAPS,Oral use,Capsule,,1,10,MG,1,CAP,10MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"5,38","7,41","7,27","4,68",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BTx30 (BLIST 3x10),"1,2,3,4,5,6",INNOVIS HEALTH ΑΝΩΝΥΜΗ ΒΙΟΤΕΧΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΑΡΑΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΚΑΛΛΥΝΤΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΚΑΙ ΣΥΜΠΛΗΡΩΜΑΤΩΝ ΔΙΑΤΡΟΦΗΣ Δ.Τ. INNOVIS HEALTH A.E.,G,"7,41","7,27",25,5045,1,0,0,1,0,0,,"4,77","9,69","9,55","9,69","9,55",,1,C08CA0101,0,0,0,0,0,0,,G,,,1,10MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,5150,,,1,,1,,0,,
4356,258890102,2588901,2802588901025,FLODIL CAPS 5MG/CAP ΒΤx30 (BLIST 2x15),Blister,2,FLODIL,FLODIL CAPS 5MG/CAP ΒΤx30 (BLIST 2x15),"Capsule, hard",CAPS,Oral use,Capsule,,1,5,MG,1,CAP,5MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"3,82","5,27","5,17","3,32",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,ΒΤx30 (BLIST 2x15),"1,2,3,4,5,6",ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,G,"5,27","5,17",25,5043,1,0,0,1,0,0,,"3,39","6,47","6,38","5,88","5,8",,1,C08CA0101,0,0,0,0,0,0,,G,,,1,5MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,4356,,,1,,1,,0,,
4358,258890202,2588902,2802588902022,FLODIL CAPS 10MG/CAP ΒΤx30 (BLIST 2x15),Blister,2,FLODIL,FLODIL CAPS 10MG/CAP ΒΤx30 (BLIST 2x15),"Capsule, hard",CAPS,Oral use,Capsule,,1,10,MG,1,CAP,10MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"5,38","7,41","7,27","4,68",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,ΒΤx30 (BLIST 2x15),"1,2,3,4,5,6",ΜΙΝΕΡΒΑ ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,G,"7,41","7,27",25,5045,1,0,0,1,0,0,,"4,77","9,69","9,55","9,69","9,55",,1,C08CA0101,0,0,0,0,0,0,,G,,,1,10MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,4358,,,1,,1,,0,,
2719,230090103,2300901,2802300901036,AMLODIN CAPS 5MG/CAP BT x 30(BLIST 3x 10),Blister,3,AMLODIN,AMLODIN CAPS 5MG/CAP BT x 30(BLIST 3x 10),"Capsule, hard",CAPS,Oral use,Capsule,,1,5,MG,1,CAP,5MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"3,82","5,27","5,17","3,32",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BT x 30(BLIST 3x 10),"1,2,3,4,5,6",BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,G,"5,27","5,17",25,5043,1,0,0,1,0,0,,"3,39","6,47","6,38",,,,1,C08CA0101,0,0,0,0,0,0,,G,,,1,5MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,2719,,,1,,1,,0,,
2720,230090203,2300902,2802300902033,AMLODIN CAPS 10MG/CAP BT x 30(BLIST 3x 10),Blister,4,AMLODIN,AMLODIN CAPS 10MG/CAP BT x 30(BLIST 3x 10),"Capsule, hard",CAPS,Oral use,Capsule,,1,10,MG,1,CAP,10MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"5,38","7,41","7,27","4,68",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BT x 30(BLIST 3x 10),"1,2,3,4,5,6",BENNETT ΦΑΡΜΑΚΕΥΤΙΚΗ Α.Ε.,G,"7,41","7,27",25,5045,1,0,0,1,0,0,,"4,77","9,69","9,55",,,,1,C08CA0101,0,0,0,0,0,0,,G,,,1,10MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,06/10/2022 16:17,0,,,,,,30,,,E,6,4,0,0,,2720,,,1,,1,,0,,
4515,260700105,2607001,2802607001057,AMLIBON TAB 5MG/TAB BTx30 (BLISTER),Blister,3,AMLIBON,AMLIBON TAB 5MG/TAB BTx30 (BLISTER),Tablet,TAB,Oral use,Tablet,,0,5,MG,1,TAB,5MG/TAB,TAB,20,20,,AMLODIPINE BESYLATE,"5,6","7,9","7,79",,0,0,0,0,0,0,0,0,0,C08CA01,,0,ΔΙΣΚΙΑ ,BTx30 (BLISTER),"1/4,1/2,1,2,3","SANDOZ GMBH, KUNDL, AUSTRIA",Z,"7,9","7,79",25,60702,1,0,0,0,0,0,,,,"7,79",,,,,,1,0,0,0,0,0,,Z,,,1,5MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,01/10/2022 0:01,0,,,,,,,,,,6,4,0,0,,4515,,,0,,0,,0,,
4516,260700205,2607002,2802607002054,AMLIBON TAB 10MG/TAB BTx30 (BLISTER),Blister,3,AMLIBON,AMLIBON TAB 10MG/TAB BTx30 (BLISTER),Tablet,TAB,Oral use,Tablet,,0,10,MG,1,TAB,10MG/TAB,TAB,30,30,,AMLODIPINE BESYLATE,"8,04","11,34","11,18",,0,0,0,0,0,0,0,0,0,C08CA01,,0,ΔΙΣΚΙΑ ,BTx30 (BLISTER),"1/4,1/2,1,2,3","SANDOZ GMBH, KUNDL, AUSTRIA",Z,"11,34","11,18",25,60703,1,0,0,0,0,0,,,,"11,18",,,,,,1,0,0,0,0,0,,Z,,,1,10MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,01/10/2022 0:01,0,,,,,,,,,,6,4,0,0,,4516,,,0,,0,,0,,
4303,258380102,2583801,2802583801023,AMODIPAN CAPS 10MG/CAP BTx30(BLISTER 3x10),Blister,3,AMODIPAN,AMODIPAN CAPS 10MG/CAP BTx30(BLISTER 3x10),"Capsule, hard",CAPS,Oral use,Capsule,,1,10,MG,1,CAP,10MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"6,87","9,69","9,55","5,57",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BTx30(BLISTER 3x10),"1,2,3,4,5,6","SANTA PHARMA A,E,",Z,"9,69","9,55",25,5045,1,0,0,0,0,0,,"5,68","9,69","9,55",,,,1,,1,0,0,0,0,0,,Z,,,1,10MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,01/10/2022 0:01,0,,,,,,,,,,6,4,0,0,,4303,,,0,,0,,0,,
4304,258380202,2583802,2802583802020,AMODIPAN CAPS 5MG/CAP BTx30(BLISTER 3x10),Blister,3,AMODIPAN,AMODIPAN CAPS 5MG/CAP BTx30(BLISTER 3x10),"Capsule, hard",CAPS,Oral use,Capsule,,1,5,MG,1,CAP,5MG/CAP,CAPS,30,30,,AMLODIPINE BESYLATE,"4,59","6,47","6,38","3,77",0,0,0,0,0,0,0,0,0,C08CA01,,0,ΚΑΨΟΥΛΑ,BTx30(BLISTER 3x10),"1,2,3,4,5,6","SANTA PHARMA A,E,",Z,"6,47","6,38",25,5043,1,0,0,0,0,0,,"3,84","6,47","6,38",,,,1,,1,0,0,0,0,0,,Z,,,1,5MG/TAB,,0,,,1,0,,,,0,01/01/2000 0:00,01/10/2022 0:02,0,,,,,,,,,,6,4,0,0,,4304,,,0,,0,,0,,
