Priorità,Country,Problema,Codice Gruppo Equivalenza,Generici_Prontuario_NewPrezziRi.Codice gruppo equivalenza,ATC,"Codice AIC - LocalMppid",Principio Attivo,Generici_Prontuario_NewPrezziRi.Principio attivo,Metri cubi ossigeno ,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Generici_Prontuario_NewPrezziRi.Farmaco,Medicinal Product Name,Titolare AIC,Generici_Prontuario_NewPrezziRi.Ditta,Generici_Prontuario_NewPrezziRi.Confezione di riferimento,Generici_Prontuario_NewPrezziRi.Confezione,Package 1 (outer container) (EDQM Code),Package 1 (outer container) (EDQM Label),Dose form (EDQM Code),Dose form (EDQM Label),Unit of Presentation 1 (EDQM Code),Unit of Presentation 1 (EDQM Label),Unit of Presentation 1 (EDQM Label),Package Size,Unit of Measure 1 (UCUM),Package 2 (inner container) (EDQM Code),Package 2 (inner container) (EDQM Label),Unit of Presentation 2 (EDQM Code),Unit of Presentation 2 (EDQM Label),Quantity 2,Unit of Measure 2 (UCUM),Route of Administration (EDQM Code),Route of Administration (EDQM Label),Substance 1 (SMS code),Substance 1 (SMS Label),Active Ingredient 1 Numerator Quantity,Active Ingredient 1 Numerator Unit of Mesurement (UCUM),Active Ingredient 1 Denominator Quantity,Active Ingredient 1 Denominator Unit of Mesurement (UCUM),Substance 2 (SMS code),Substance 2 (SMS Label),Active Ingredient 2 Numerator Quantity,Active Ingredient 2 Numerator Unit of Mesurement (UCUM),Active Ingredient 2 Denominator Quantity,Active Ingredient 2 Denominator Unit of Mesurement (UCUM),Active Ingredient 3 (SMS code),Active Ingredient 3 (SMS Label),Active Ingredient 3 Numerator Quantity,Active Ingredient 3 Numerator Unit of Mesurement (UCUM),Active Ingredient 3 Denominator Quantity,Active Ingredient 3 Denominator Unit of Mesurement (UCUM),X=in lista di trasparenza Aifa 15/12/2021,Solo in lista di Regione:,Generici_Prontuario_NewPrezziRi.Nota
1,Italy,,01A,01A,A05AA02,33090010,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 300 mg,ACIDO URSODESOSSICOLICO,ACIDO URSODESOSSICOLICO,RATIOPHARM GMBH,RATIOPHARM GMBH,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,28746016,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 300 mg,ACIDO URSODESOSSICOLICO ARISTO,ACIDO URSODESOSSICOLICO ARISTO,ARISTO PHARMA GMBH,ARISTO PHARMA GMBH,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,28366019,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 300 mg,ACIDO URSODESOSSICOLICO AUROBINDO,ACIDO URSODESOSSICOLICO AUROBINDO,AUROBINDO PHARMA ITALIA Srl,AUROBINDO PHARMA ITALIA S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,28931018,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 300 mg,ACIDO URSODESOSSICOLICO DOC GENERICI,ACIDO URSODESOSSICOLICO DOC GENERICI,DOC GENERICI Srl,DOC GENERICI S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE RIGIDE"" 20 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,33512031,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 300 mg,ACIDO URSODESOSSICOLICO EG,ACIDO URSODESOSSICOLICO EG,EG SpA,EG S.P.A.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE"" 20 CAPSULE",30009000,Box,12100,Capsule,15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,33094020,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cpr 300 mg,ACIDO URSODESOSSICOLICO MYLAN GENERICS,ACIDO URSODESOSSICOLICO MYLAN GENERICS,MYLAN SpA,MYLAN S.P.A.,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,33564030,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,ACIDO URSODESOSSICOLICO*20 cps 300 mg,ACIDO URSODESOSSICOLICO ZENTIVA,ACIDO URSODESOSSICOLICO ZENTIVA,ZENTIVA ITALIA Srl,ZENTIVA ITALIA S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE RIGIDE"" 20 CAPSULE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,23605114,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,DEURSIL*20 cps 300 mg,DEURSIL,DEURSIL,CHEPLAPHARM ARZNEIMITTEL GMBH,CHEPLAPHARM ARZNEIMITTEL GMBH,20 UNITA' 300 MG - USO ORALE,"""300 MG CAPSULE RIGIDE"" 20 CAPSULE RIGIDE",30009000,Box,10210000,"Capsule, hard",15012000,capsule,capsule,20,{Capsule},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,28404010,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,LITOFF*20 cpr div 300 mg,LITOFF,LITOFF,I.B.N. SAVIO Srl,ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE"" 20 COMPRESSE",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
1,Italy,,01A,01A,A05AA02,24615080,Acido ursodesossicolico,Acido ursodesossicolico,,ACIDO URSODESOSSICOLICO 300MG 20 UNITA' USO ORALE,LITURSOL*20 cpr 300 mg,LITURSOL,LITURSOL,EG SpA,EG S.P.A.,20 UNITA' 300 MG - USO ORALE,"""300 MG COMPRESSE""20 COMPRESSE""",30009000,Box,10219000,Tablet,15054000,tablet,tablet,20,{Tablet},,,,,,,20053000,Oral Use,100000092107,Ursodeoxycholic acid,300,mg,1,1,,,,,,,,,,,,,X,,
