authorization_country,vtm_name,samv2_amp_id,medicinal_product_name,company,amppname,cnk_pub,cti_ext,abbrevname,name_abbrev_fr,packdisplayvalue,espc_nl,espc_fr,marketingauthorisationholder,distributor,basis_substance,substance_modifier,formname,edqmform,edqmid,snomedid,abbrform_nl,abbrform_fr,manufactureddoseform,adm_doseform,roa_nl,roa_en,edqm_roa_nl,edqm_roa_id,baseofstrength,strenght_nominator_value_low_limit,strength_nominator_unit,strenght_nominator_value_high_limit,strengthunitucum,strenght_denominator_value_low_limit,strength_denominator_unit,strengthdenomunitucum,atc,ddd,ddu,dddpropackage,vmp_name,vmpgroupname
BEL,amlodipine,NULL,Amlobemed tabl. (deelb.) 10 mg,3DDD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,amlodipine,amlodipine besilaat,tablet,Tablet,10219000,SAM2,# tabl.,compr. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,amlodipine 10 mg tablet (or.),amlodipine oraal 10 mg
BEL,amlodipine,NULL,Amlobemed tabl. (deelb.) 5 mg,3DDD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,amlodipine,amlodipine besilaat,tablet,Tablet,10219000,SAM2,# tabl.,compr. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,5,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,amlodipine 5 mg tablet (or.),amlodipine oraal 5 mg
BEL,amoxicilline,NULL,Amoxicilline Apotex bruistabl. (deelb.) 1 g,Apotex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,amoxicilline,,bruistablet,Bruistablet,10222000,SAM2,# bruistabl.,compr. efferv. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,1,g,NULL,g,NULL,NULL,NULL,NULL,NULL,NULL,,amoxicilline 1 g bruistablet (or.),amoxicilline oraal 1 g
BEL,amoxicilline,NULL,Amoxicilline Apotex siroop susp. (pdr.) 250 mg / 5 ml,Apotex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,amoxicilline,,"poeder voor siroop, suspensie",Poeder voor siroop/Poeder voor suspensie voor oraal gebruik,10111000/10118000,SAM2,# siroop susp. (pdr.),sirop susp. (pdr) #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,250,mg,NULL,mg,5,mL,mL,NULL,NULL,NULL,,amoxicilline 250 mg / 5 ml suspensie (or.),amoxicilline oraal 250 mg / 5 ml
BEL,cefuroxim,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,cefuroxim 750 mg poeder voor oplossing voor injectie (i.m./i.v.) foutief,cefuroxim 750 mg injectie
BEL,diazepam,NULL,Valium (Impexeco) tabl. (deelb.) 10 mg,Impexeco,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,diazepam,,tablet,Tablet,10219000,SAM2,# tabl.,compr. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,10,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,diazepam 10 mg tablet (or.),diazepam oraal 10 mg
BEL,diclofenac,NULL,Diclofenac-K Teva filmomh. tabl. 50 mg,Teva,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,diclofenac,,filmomhulde tablet,Filmomhulde tablet,10221000,SAM2,# filmomh. tabl.,compr. pellic. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,50,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,diclofenac kalium 50 mg tablet (or.),diclofenac oraal 50 mg
BEL,diclofenac,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,NULL,,NULL,NULL,NULL,SAM2,NULL,NULL,?,?,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,diclofenac natrium 10 mg / 1 g pleister (transderm. lok.),diclofenac natrium pleister transdermaal lokaal 10 mg / 1 g
BEL,enalapril,NULL,Renitec tabl. (deelb.) 5 mg,MSD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,enalapril,,tablet,Tablet,10219000,SAM2,# tabl.,compr. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,5,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,enalapril maleaat 5 mg tablet (or.),enalapril oraal 5 mg
BEL,esomeprazol,NULL,Esomeprazole Mylan harde maagsapresist. caps. 20 mg,Mylan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SAM2,SAM2,esomeprazol,esomeprazol magnesium,"maagsapresistente capsule, hard","Maagsapresistente capsule, hard",10212000,SAM2,# harde maagsapresist. caps.,gél. gastro-résist. #,?,?,oraal gebruik,oral use,Oraal gebruik,20053000,,20,mg,NULL,mg,NULL,NULL,NULL,NULL,NULL,NULL,,esomeprazol 20 mg maagsapresistente capsule (or.),esomeprazol oraal 20 mg
