authorization_country,substance_name,mpid,package_id,medicinal_product_name,MA_holder,MA_number,spc_fi,spc_sv,basis_substance,reference_substance,formname_fi,formname_sv,formname_en,spor_form_list,spor_form,manufactureddoseform,route_of_admin_fi,route_of_admin_sv,route_of_admin_en,route_of_admin_spor_id,edqm_roa_id,strength_with_unit,ingredient_quantity_operator,ingredient_base_strength,ingredient_strength_min,ingredient_strength_max,strength_unit_fi,strength_unit_sv,strength_unit_en,reference_substance_strength,code,free_form_package_size,legal_status_for_supply
FIN,Amoxicillin trihydrate,1266,2611,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,20,R
FIN,Amoxicillin trihydrate,1266,2612,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,30,R
FIN,Amoxicillin trihydrate,1266,2613,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,100,R
FIN,Amoxicillin trihydrate,1266,2614,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,2 PÄ,R
FIN,Amoxicillin trihydrate,1266,41078,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,14,R
FIN,Amoxicillin trihydrate,1266,44082,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,20,R
FIN,Amoxicillin trihydrate,1266,44083,Amorion,Orion Corporation,7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7693,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,375 mg,,"430,54",,,mg,mg,mg,375,J01CA04,30,R
FIN,Amoxicillin trihydrate,1267,2615,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,30,R
FIN,Amoxicillin trihydrate,1267,2616,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,100,R
FIN,Amoxicillin trihydrate,1267,2617,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,20,R
FIN,Amoxicillin trihydrate,1267,2618,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,2 PÄ,R
FIN,Amoxicillin trihydrate,1267,30056,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,14,R
FIN,Amoxicillin trihydrate,1267,40951,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,30,R
FIN,Amoxicillin trihydrate,1267,40952,Amorion,Orion Corporation,7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=7694,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,500 mg,,574,,,mg,mg,mg,500,J01CA04,20,R
FIN,Amoxicillin trihydrate,4543,8644,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,15,R
FIN,Amoxicillin trihydrate,4543,8645,Amorion,Orion Corporation,12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,http://spc.fimea.fi/indox/nam/mln.jsp?index=humpil myyntilupanro=12387,Amoxicillin trihydrate,Amoxicillin,"tabletti, kalvopäällysteinen",filmdragerad tablett,film-coated tablet,200000000004,100000073665,film-coated tablet,Suun kautta,Oral användning,Oral use,100000073619,20053000,750 mg,,"861,1",,,mg,mg,mg,750,J01CA04,20,R
