code,term,definition,comment
10100500,Concentrate for oral suspension,Liquid preparation intended to be diluted in the specified liquid to obtain an oral suspension.,
10101000,"Oral drops, solution","Liquid, usually multidose preparation consisting of a solution intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the solution. The measured dose may be diluted in water or another suitable liquid before swallowing.",
10102000,"Oral drops, suspension","Liquid, usually multidose preparation consisting of a suspension intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the suspension. The measured dose may be diluted in water or another suitable liquid before swallowing.",
10103000,"Oral drops, emulsion","Liquid, usually multidose preparation consisting of an emulsion intended for oral use. The preparation is administered in small volumes by means of a suitable measuring device such as a dropper, pipette or oral syringe capable of accurate dosing of the emulsion. The measured dose may be diluted in water or another suitable liquid before swallowing.",
10104000,Oral liquid,"Liquid single-dose or multidose preparation consisting of a liquid active substance per se, intended for oral use. Each dose from a multidose container is administered by means of a suitable device such as a measuring spoon.",
10105000,Oral solution,"Liquid single-dose or multidose preparation consisting of a solution intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
10106000,Oral suspension,"Liquid single-dose or multidose preparation consisting of a suspension intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
10107000,Oral emulsion,"Liquid single-dose or multidose preparation consisting of an emulsion intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
10108000,Oral gel,"Semi-solid single-dose or multidose preparation intended for oral use, consisting of a gel, usually hydrophilic, to be swallowed after administration to the oral cavity.",
10109000,Oral paste,"Semi-solid single-dose or multidose preparation intended for oral use, consisting of a paste to be swallowed after administration to the oral cavity.",
10110000,Powder for oral solution,Solid preparation consisting of (a) solid active substance(s) which may also include excipients to facilitate dissolution in the prescribed liquid. Powders for oral solution include freeze-dried powders. The oral solution is usually prepared just before administration to the patient.,
10111000,Powder for oral suspension,Solid preparation consisting of (a) solid active substance(s) which may also include excipients to facilitate dispersion in the prescribed liquid and to prevent sedimentation during storage of the oral suspension. Powders for oral suspension include freeze-dried powders. The oral suspension is usually prepared just before administration to the patient.,
10112000,Granules for oral solution,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dissolution, intended to be dissolved in the specified liquid to obtain an oral solution, which is usually prepared just before administration to the patient.",
10113000,Granules for oral suspension,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dispersion, intended to be dispersed in the specified liquid to obtain an oral suspension, which is usually prepared just before administration to the patient.",
10116000,Lyophilisate for suspension,,"Use discouraged. Use instead a more-specific term such as 'Lyophilisate for oculonasal suspension', 'Lyophilisate for suspension for injection', etc."
10117000,Syrup,"Liquid single-dose or multidose aqueous preparation characterised by a sweet taste and a viscous consistency and usually containing aromatic or other flavouring agents, intended for oral use. Each dose from a multidose container is administered by means of a device suitable for measuring the prescribed volume, generally 5 mL or multiples thereof.",
10118000,Powder for syrup,"Solid preparation consisting of one or more powders, including freeze-dried powders, that may include excipients to facilitate dissolution in water and to obtain the characteristics of a syrup, intended to be dissolved in water to obtain a syrup.",
10119000,Granules for syrup,"Solid preparation consisting of aggregated particles that may include excipients to facilitate wetting and dissolution and to obtain the characteristics of a syrup, intended to be dissolved in water to obtain a syrup.",
10120000,Soluble tablet,"Solid single-dose preparation consisting of a tablet, usually uncoated, intended to be dissolved in the specified liquid before being swallowed.",This is equivalent to a tablet for oral solution.
10121000,Dispersible tablet,Solid single-dose preparation consisting of a tablet intended to be dispersed in the specified liquid before being swallowed.,This is equivalent to a tablet for oral suspension.
10121500,Dispersible tablets for dose dispenser,"Solid preparation consisting of small, dispersible tablets that are designed to be used in a dose dispenser, each tablet usually consisting of a small fraction of a dose, with multiple tablets being automatically counted and administered as a single dose.",
10122000,Herbal tea,"Solid preparation consisting exclusively of one or more herbal drugs intended for the preparation of an oral aqueous preparation by means of decoction, infusion or maceration. Herbal teas are usually presented in bulk form or in bags. The tea is prepared immediately before oral intake.",
10201000,Oral powder,"Single-dose or multidose preparation consisting of one or more particulate solids of varying degrees of fineness. Oral powders are intended for oral administration. They are generally administered in or with water or another suitable liquid, but may also be swallowed directly.",
10202000,Instant herbal tea,Solid preparation consisting of a lyophilised herbal drug extract intended to be dissolved in water before oral use. Instant herbal teas are supplied in bulk form (multidose) or in sachets (single-dose).,
10203000,Effervescent powder,Solid single-dose or multidose preparation consisting of one or more powders generally containing acid substances and carbonates or hydrogen carbonates that react rapidly in the presence of water to release carbon dioxide. Effervescent powders are intended to be dissolved or dispersed in water before administration.,
10204000,Granules,"Solid single-dose or multidose preparation consisting of solid, dry aggregates of powder particles that are sufficiently resistant to withstand handling. Granules are intended for oral use to release active substance(s) in the gastrointestinal fluids by a rate depending essentially on the intrinsic properties of the active substance(s) (conventional release). They may be swallowed as such and/or chewed before swallowing, and some may also be dissolved or dispersed in water or another suitable liquid before oral administration. Granules for oral solution and Granules for oral suspension are excluded.",
10205000,Effervescent granules,Solid single-dose or multidose preparation consisting of uncoated granules generally containing acidic substances and carbonates or hydrogen carbonates that rapidly react in the presence of water to release carbon dioxide. Effervescent granules are intended to be dissolved or dispersed in water before oral use.,
10206000,Gastro-resistant granules,Solid preparation consisting of delayed-release granules intended to resist the gastric fluid and release the active substance(s) in the intestinal fluid. This deliberate modification is achieved by coating the granules with a gastro-resistant material or by embedding the solid particles in the gastro-resistant material. Gastro-resistant granules are usually single-dose preparations intended for oral use.,
10207000,Prolonged-release granules,Solid preparation consisting of granules showing a slower release than that of conventional-release granules. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Prolonged-release granules are usually single-dose preparations intended for oral use.,
10208000,Modified-release granules,"Solid preparation consisting of granules showing a rate and/or place of release different from that of conventional-release granules. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Modified-release granules are usually single-dose preparations intended for oral use, and include prolonged-release, delayed release and pulsatile-release granules. The generic term 'modified-release granules' is used only when the more specific terms 'gastro-resistant granules' or 'prolonged-release granules' do not apply.",
10209000,Cachet,Solid discoid preparation consisting of a wafer enclosing a unit dose intended for oral use.,
10210000,"Capsule, hard","Solid single-dose preparation contained in a hard shell, the capacity of which can be varied. The shell is made of gelatin or other substances. It consists of two prefabricated cylindrical sections one end of which is rounded and closed, the other being open. The contents of the shell may be a solid or semi-solid preparation, which is filled into one of the sections and closed by slipping the other section over it. Hard capsules are intended for oral use.",
10211000,"Capsule, soft","Solid single-dose preparation contained in a soft shell, the capacity and shape of which can be varied. The shell is made of gelatin or other substances and may contain (a) solid active substance(s). The shell is thicker than that of hard capsules and consists of one part as soft capsules usually are formed, filled and sealed in one operation. The contents of the shell may be a semi-solid or liquid preparation. Soft capsules are intended for oral use.",
10212000,"Gastro-resistant capsule, hard","Solid single-dose, delayed-release preparation contained in a hard shell. The preparation is intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. Hard gastro-resistant capsules are usually made by filling hard capsules with gastro-resistant granules or solid particles made gastro-resistant by coating or, in certain cases, by providing hard capsules with a gastro-resistant shell. They are intended for oral use.",
10213000,"Gastro-resistant capsule, soft","Solid single-dose, delayed-release preparation contained in a soft shell. The preparation is intended to resist the gastric fluid and to release the active substance(s) in the intestinal fluid. Soft gastro-resistant capsules are usually formed, filled and sealed in one operation. They may contain a liquid or semi-solid preparation in the gastro-resistant shell. Soft gastro-resistant capsules are intended for oral use.",
10214000,"Chewable capsule, soft","Solid single-dose preparation contained in a soft shell. The soft capsule is intended to be chewed to release its contents into the mouth. The contents of the soft shell may be a semi-solid or liquid preparation intended for local action or systemic delivery after absorption through the oral mucosa or, when swallowed, in the gastrointestinal tract.",
10215000,"Prolonged-release capsule, hard","Solid single-dose preparation consisting of a hard shell containing a solid or semi-solid formulation, showing a slower release of the active substance(s) than that of a conventional-release capsule. Prolonged release is achieved by a special formulation design and/or manufacturing method. Hard prolonged-release capsules are intended for oral use.",
10216000,"Prolonged-release capsule, soft","Solid single-dose preparation consisting of a soft shell containing a semi-solid or liquid formulation, showing a slower release of the active substance(s) than that of a conventional-release capsule. Prolonged release is achieved by a special formulation design and/or manufacturing method. Soft prolonged-release capsules are intended for oral use.",
10217000,"Modified-release capsule, hard","Solid single-dose preparation consisting of a hard shell containing a solid or semi-solid formulation, showing a rate, a place and/or a time of release different from that of a conventional-release capsule. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Hard modified-release capsules are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release capsule, hard' is used only when the more specific terms 'gastro-resistant capsule, hard' or 'prolonged-release capsule, hard' do not apply.",
10218000,"Modified-release capsule, soft","Solid single-dose preparation consisting of a soft shell containing a semi-solid or liquid formulation, showing a rate, a place and/or a time of release different from that of a conventional-release capsule. This deliberate modification is achieved by a special formulation design and/or manufacturing method. Soft modified-release capsules are intended for oral use, and include prolonged-release, delayed-release and pulsatile-release preparations. The generic term 'modified-release capsule, soft' is used only when the more specific terms 'gastro-resistant capsule, soft' or 'prolonged-release capsule, soft' do not apply.",
