code,term,definition,comment
20001000,Auricular use,Administration of a medicinal product to the ear.,
20002000,Beak dipping,Administration of a veterinary medicinal product by dipping the beak of birds into an aqueous solution of the medicinal product.,
20002500,Buccal use,Administration of a medicinal product to the buccal cavity (pouch located between the cheek and the gum) to obtain a systemic effect,
20003000,Cutaneous use,Administration of a medicinal product to the skin and/or cutaneous wounds and/or nails and/or hair in order to obtain a local effect.,
20004000,Dental use,"Administration of a medicinal product to and/or in the teeth or, on and/or around the nerves supplying the teeth.",
20005000,Dipping,Administration of a veterinary medicinal product by immersing the animal into a bath or plunge pool containing the medicinal product.,
20006000,Endocervical use,Administration of a medicinal product to the cervix uteri.,
20007000,Endosinusial use,Administration of a medicinal product to the sinuses to obtain a local effect.,
20008000,Endotracheopulmonary use,Administration of a medicinal product to the trachea and/or bronchi by instillation (preparations for inhalation are excluded; see inhalation use).,
20009000,Epidural use,Injection of a medicinal product into the epidural space.,
20010000,Epilesional use,Administration of a medicinal product onto a lesion.,
20011000,Extraamniotic use,Injection of a medicinal product between chorion and amnion.,
20011500,Extracorporeal use,Use of a medicinal product outside the body,
20012000,Foot-stab use,Administration of a veterinary medicinal product into the foot of birds.,
20013000,Gastroenteral use,Administration of a medicinal product to the gastroenteral tract by means of an appropriate device. For use only when gastric use and intestinal use do not apply.,
20013500,Gastric use,Administration of a medicinal product to the stomach by means of an appropriate device,
20014000,Gingival use,Administration of a medicinal product to the gingivae.,
20015000,Haemodialysis,Clearance of the blood by means of a semipermeable membrane. [Previous English term 'Hemodialysis' corrected 04/07/11.],
20015500,Implantation,Insertion of an implant or living tissue equivalent into living tissue.,
20015700,In drinking water use,Administration of a veterinary medicinal product by incorporation into the animal drinking water.,
20016000,In drinking water/milk use,"Administration of a veterinary medicinal product by incorporation into the animal drinking water, milk or milk replacer. [Previous English term 'In drinking water or milk use' corrected 28/03/2011.]",
20017000,In ovo,Administration of a veterinary medicinal product through the shell into an embryonated egg.,
20018000,In-feed use,Administration of a veterinary medicinal product by incorporation into the animal feed.,
20019000,In-hive use,Administration of a veterinary medicinal product by placing it or sprinkling over a bee hive.,
20019500,Infiltration,"Method of administration, usually by injection, whereby a fluid passes into a target tissue (e.g. anaesthetic infiltration)",
20020000,Inhalation use,Administration of a medicinal product to the respiratory system by inhalation to obtain a systemic or a local effect in the lower respiratory tract. Nasal use and endotracheopulmonary use are excluded,
20021000,Intestinal use,"Administration of a medicinal product to the intestine (duodenum, jejunum, ileum and colon) by means of an appropriate device. Gastroenteral use is excluded ",
20022000,Intraamniotic use,Injection of a medicinal product into the amniotic cavity.,
20023000,Intraarterial use,Injection of a medicinal product into an artery.,
20024000,Intraarticular use,Injection of a medicinal product into an articular cavity.,
20025000,Intrabursal use,Injection of a medicinal product into bursae and tendons.,
20025500,Intracameral use,Administration of a medicinal product directly into the anterior chamber of the eye,
20026000,Intracardiac use,Injection of a medicinal product into the cardiac muscle and/or cardiac cavity.,
20026500,Intracartilaginous use,Administration of a medicinal product into the cartilage,
20027000,Intracavernous use,Injection of a medicinal product into the corpus cavernosum.,
20027010,Intracerebral use,Administration of a medicinal product directly to the brain tissue. This term is only for use when a more-specific term (e.g. 'Intraputaminal use') is not applicable.,
20028000,Intracervical use,Injection of a medicinal product into the cervix uteri.,
20028300,Intracholangiopancreatic use,"Injection of a medicinal product into the bile duct and the pancreatic duct, for example via a cannula introduced into the ampulla of Vater (the common opening of the ducts), usually for the administration of a contrast medium for techniques such as endoscopic retrograde cholangiopancreatography (ERCP).",
20028500,Intracisternal use,Administration of a medicinal product into the cisterna magna.,
20029000,Intracoronary use,Injection of a medicinal product into the coronary artery.,
20030000,Intradermal use,Injection of a medicinal product into the dermis.,
20031000,Intradiscal use,Injection of a medicinal product into the nucleus pulposus of an intervertebral disc.,
20031500,Intraepidermal use,Administration of a medicinal product into the epidermis,
20031700,Intraglandular use,"Administration of a medicinal product directly into a gland, usually by injection. Only to be used where more-specific terms such as 'Intraprostatic use' and 'Intramammary use' do not apply.",
20032000,Intralesional use,Administration by injection or any other means of a medicinal product directly to a lesion.,
20033000,Intralymphatic use,Injection of a medicinal product into a lymphatic vessel.,
20034000,Intramammary use,Administration of a veterinary medicinal product into the intramammary gland via the teat canal.,
